"invoice_id","stock_code","description","quantity","invoice_date","unit_price","customer_id","country"
"570257","22996","TRAVEL CARD WALLET VINTAGE TICKET",24,"2011-10-10 09:56:00",0.42,13767,"United Kingdom"
"492765","22138","BAKING SET 9 PIECE RETROSPOT ",3,"2009-12-18 14:54:00",4.95,13855,"United Kingdom"
"567795","21481","FAWN BLUE HOT WATER BOTTLE",8,"2011-09-22 11:44:00",3.75,14646,"Netherlands"
"522847","85123A","WHITE HANGING HEART T-LIGHT HOLDER",32,"2010-09-17 11:04:00",2.55,14035,"United Kingdom"
"561488","22383","LUNCH BAG SUKI DESIGN ",10,"2011-07-27 13:51:00",1.65,16609,"United Kingdom"
"503795","22554","PLASTERS IN TIN WOODLAND ANIMALS",12,"2010-04-07 13:07:00",1.65,14770,"United Kingdom"
"505023","35600D","PINK AND WHITE CHRISTMAS TREE 180CM",12,"2010-04-19 14:14:00",2.95,12516,"Germany"
"521036","21231","SWEETHEART CERAMIC TRINKET BOX",12,"2010-09-02 09:04:00",1.25,12949,"United Kingdom"
"536982","22367","CHILDRENS APRON SPACEBOY DESIGN",11,"2010-12-03 14:27:00",5.06,\N,"United Kingdom"
"538177","21902","KEY FOB , FRONT  DOOR ",1,"2010-12-10 09:51:00",1.66,\N,"United Kingdom"
"569638","22530","MAGIC DRAWING SLATE DOLLY GIRL ",24,"2011-10-05 12:15:00",0.42,16140,"United Kingdom"
"561195","22094","RED RETROSPOT TISSUE BOX",4,"2011-07-25 13:57:00",0.39,14796,"United Kingdom"
"503452","21785","RAIN PONCHO ",72,"2010-04-01 11:48:00",0.65,16347,"United Kingdom"
"561897","22907","PACK OF 20 NAPKINS PANTRY DESIGN",3,"2011-07-31 15:24:00",0.85,17841,"United Kingdom"
"504894","21922","UNION STRIPE WITH FRINGE  HAMMOCK",2,"2010-04-18 14:10:00",7.95,15990,"United Kingdom"
"505708","22476","EMPIRE UNION JACK TV DINNER TRAY",1,"2010-04-25 12:15:00",4.95,13782,"United Kingdom"
"490466","21231","SWEETHEART CERAMIC TRINKET BOX",2,"2009-12-06 12:16:00",1.25,17085,"United Kingdom"
"580980","22712","CARD DOLLY GIRL ",12,"2011-12-06 15:43:00",0.42,17730,"United Kingdom"
"520571","21000","ROSE DU SUD COSMETICS BAG",1,"2010-08-27 09:12:00",3.36,\N,"United Kingdom"
"578950","23034","DRAWER KNOB CERAMIC BLACK",6,"2011-11-27 14:40:00",1.45,17885,"United Kingdom"
"566816","23171","REGENCY TEA PLATE GREEN ",24,"2011-09-15 10:53:00",1.65,12731,"France"
"507735","22498","WOODEN REGATTA BUNTING",3,"2010-05-11 12:10:00",5.95,17321,"United Kingdom"
"519640","22348","TEA BAG PLATE RED SPOTTY ",288,"2010-08-19 10:11:00",0.72,16684,"United Kingdom"
"526513","84520B","PACK 20 ENGLISH ROSE PAPER NAPKINS",4,"2010-10-12 11:04:00",0.85,15039,"United Kingdom"
"541516","85202","HANGING WOOD AND FELT HEART",2,"2011-01-18 17:34:00",0.42,\N,"United Kingdom"
"536605","22219","LOVEBIRD HANGING DECORATION WHITE ",12,"2010-12-02 08:52:00",0.85,13715,"United Kingdom"
"571446","23171","REGENCY TEA PLATE GREEN ",36,"2011-10-17 13:46:00",1.65,14911,"EIRE"
